id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC587,23.138892,35.358615,13.70,1.50,2.94,65,,PGC5746,,
NGC589,23.166368,-12.042691,15.00,0.60,1.47,115,,PGC5758,,
IC1713,23.138892,35.358615,13.70,1.50,2.94,65,,PGC5746,,
NGC588,23.188333,30.648333,14.44,0.60,,,,,,
IC141,23.215562,-14.814439,14.07,0.55,1.35,110,,PGC5765,,
NGC596,23.216270,-7.031569,11.50,1.65,1.19,40,,PGC5766,,
NGC599,23.224096,-12.191256,13.00,0.75,1.06,150,,PGC5778,,
NGC594,23.237146,-16.536050,14.20,0.65,1.85,25,,PGC5769,,
IC138,23.258235,-0.689827,14.90,0.68,1.39,25,,PGC5771,,
NGC600,23.272050,-7.311406,13.10,0.85,2.50,15,,PGC5777,,
NGC592,23.300783,30.646428,,1.25,,,,,,
IC131,23.312500,30.752500,12.52,,,,,,,
IC133,23.316250,30.883889,12.20,,,,,,,
IC132,23.315833,30.945833,14.82,0.67,1.21,,,,,
NGC581,23.339000,60.659000,7.40,6.00,,,,,,M103
NGC591,23.380127,35.668230,13.90,0.92,1.72,105,,PGC5800,,
NGC595,23.389708,30.691611,,0.90,,,,,,
IC1715,23.392250,12.585525,14.50,0.55,1.85,90,,PGC5805,,
IC137,23.400000,30.516667,,,,,,,,
NGC590,23.420372,44.928866,14.20,2.34,2.46,146,,PGC5808,,
NGC598,23.462069,30.660175,5.72,60.26,1.70,22,Triangulum Galaxy,PGC5818,,M33
IC142,23.479583,30.756111,14.20,,,,,,,
NGC612,23.490629,-36.493279,13.15,0.83,1.39,165,,PGC5827,,
NGC617,23.510570,-9.774153,14.70,0.34,1.47,5,,PGC5831,,
IC143,23.525000,30.783333,11.40,,,,,,,
IC136,23.300000,30.500000,11.04,,,,,,,
IC135,23.300000,30.466667,,0.4,,,,,,
NGC613,23.575979,-29.418489,12.71,5.50,1.26,119,,PGC5849,,
NGC604,23.633750,30.783611,,1.93,,,,,,
NGC606,23.708951,21.418437,14.50,0.56,1.06,160,,PGC5874,,
NGC619,23.715751,-36.489388,14.34,0.76,1.47,100,,PGC5878,,
NGC605,23.759764,41.248148,14.30,0.83,1.67,155,,PGC5891,,
NGC625,23.769300,-41.436200,11.25,6.61,3.24,93,,PGC5896,,
NGC615,23.773700,-7.340234,12.80,1.61,2.00,155,,PGC5897,,
NGC623,23.776603,-36.490202,13.60,0.83,1.16,75,,PGC5898,,
NGC626,23.800382,-39.146048,13.41,0.68,1.04,130,,PGC5901,,
NGC608,23.867627,33.656737,14.00,0.80,1.47,30,,PGC5913,,
NGC630,23.902040,-39.357791,13.57,0.89,1.28,75,,PGC5924,,
NGC624,23.962837,-10.002966,14.20,0.69,1.47,95,,PGC5932,,
NGC614,23.967635,33.681981,13.90,0.80,1.11,135,,PGC5933,,
