id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
71 Cet,36.243287,-2.780028,6.33,B9.5III/IV,HD15004,HIP11261,
10 Per,36.316785,56.609821,6.26,B2Ia,HD14818,HIP11279,
65 And,36.405929,50.278629,4.71,K4.5III,HD14872,HIP11313,
72 rho Cet,36.487524,-12.290474,4.87,A0V,HD15130,HIP11345,
kap Eri,36.746341,-47.703840,4.25,B7IV,HD15371,HIP11407,
25 Ari,36.847457,10.198324,6.46,F5V,HD15228,HIP11427,
11 Tri,36.865713,31.801279,5.55,K1III:,HD15176,HIP11432,
66 And,36.965742,50.569974,6.16,F4V,HD15138,HIP11465,
phi For,37.007097,-33.811040,5.12,A2.5V,HD15427,HIP11477,
73 ksi02 Cet,37.039821,8.460060,4.30,B9III,HD15318,HIP11484,
12 Tri,37.041583,29.669329,5.29,F0III,HD15257,HIP11486,
13 Tri,37.202060,29.931758,5.90,G0V,HD15335,HIP11548,
iot Cas,37.266449,67.402477,4.52,,HD15089,HIP11569,
26 Ari,37.660071,19.855303,6.13,A9V,HD15550,HIP11678,
27 Ari,37.726658,17.703859,6.22,G8III-IVFe-2,HD15596,HIP11698,
mu. Hyi,37.918846,-79.109416,5.28,G8III,HD16522,HIP11757,
1 alf UMi,37.954561,89.264109,2.02,F8Ib,HD8890,HIP11767,Polaris
76 sig Cet,38.021787,-15.244674,4.75,F5V,HD15798,HIP11783,
14 Tri,38.025707,36.147273,5.14,K5III,HD15656,HIP11784,
75 Cet,38.039260,-1.034893,5.36,K1III,HD15779,HIP11791,
29 Ari,38.225591,15.034536,5.99,F8V,HD15814,HIP11843,
lam01 For,38.279275,-34.649967,5.89,K0/1III,HD15975,HIP11867,
ome For,38.461256,-28.232338,4.96,B9Va,HD16046,HIP11918,
77 Cet,38.677599,-7.859445,5.73,K2III,HD16074,HIP12002,
79 Cet,38.833038,-3.560604,6.78,G2V,HD16141,HIP12048,
15 Tri,38.945089,34.687550,5.37,M3III,HD16058,HIP12086,
78 nu. Cet,38.968642,5.593240,4.87,G8III,HD16161,HIP12093,
80 Cet,39.000199,-7.831596,5.54,M0/1III,HD16212,HIP12107,
iot01 For,39.038603,-30.044978,5.73,G8/K0III,HD16307,HIP12122,
31 Ari,39.157996,12.447632,5.64,F7V,HD16234,HIP12153,
30 Ari,39.240606,24.648056,7.09,F6V,HD16232,HIP12184,
lam02 For,39.244199,-34.577975,5.79,G1V,HD16417,HIP12186,
30 Ari,39.252181,24.647220,6.48,F5V,HD16246,HIP12189,
eta Hor,39.351453,-52.543109,5.29,A6V,HD16555,HIP12225,
81 Cet,39.424175,-3.396174,5.65,K0III,HD16400,HIP12247,
iot02 For,39.577756,-30.194064,5.83,F6VFe-0.7CH-0.4,HD16538,HIP12288,
32 nu. Ari,39.704135,21.961402,5.45,A7V,HD16432,HIP12332,
82 del Cet,39.870649,0.328510,4.07,B2IV,HD16582,HIP12387,
83 eps Cet,39.890823,-11.872098,4.87,F5V,HD16620,HIP12390,
eps Hyi,39.897338,-68.266947,4.10,B9Va,HD16978,HIP12394,
s Eri,39.949897,-42.891811,4.75,A1Vb,HD16754,HIP12413,
zet Hor,40.165056,-54.549912,5.21,F6V,HD16920,HIP12484,
iot Eri,40.166812,-39.855377,4.12,K0IIIb,HD16815,HIP12486,
33 Ari,40.171150,27.060944,5.30,A2/3V,HD16628,HIP12489,
84 Cet,40.308322,-0.695662,5.71,F7V,HD16765,HIP12530,
12 Per,40.562144,40.193950,4.92,F9V,HD16739,HIP12623,
34 mu. Ari,40.591399,20.011465,5.74,A0V,HD16811,HIP12640,
85 Cet,40.620571,10.741729,6.31,A2V,HD16861,HIP12647,
iot Hor,40.639444,-50.800293,5.40,F8V,HD17051,HIP12653,
11 Per,40.761825,55.106018,5.75,B8IV,HD16727,HIP12692,
86 gam Cet,40.825163,3.235816,3.47,A2Vn+F4V,HD16970,HIP12706,Kaffaljidhma
35 Ari,40.862976,27.707149,4.67,B3V,HD16908,HIP12719,
14 Per,41.021500,44.297039,5.43,G0Ib-IIaCa1,HD16901,HIP12768,
89 pi. Cet,41.030616,-13.858689,4.24,B7IV,HD17081,HIP12770,
13 tet Per,41.049944,49.228449,4.11,F8V,HD16895,HIP12777,
36 Ari,41.079637,17.763927,6.40,K2III,HD17017,HIP12784,
37 omi Ari,41.137383,15.311860,5.78,B9Vn,HD17036,HIP12803,
87 mu. Cet,41.235572,10.114145,4.26,A9IIIp,HD17094,HIP12828,
38 Ari,41.239923,12.445756,5.18,A7III,HD17093,HIP12832,
1 tau01 Eri,41.275828,-18.572623,4.46,F7V,HD17206,HIP12843,
gam Hor,41.364490,-63.704553,5.74,G8III/IV,HD17504,HIP12871,
zet Hyi,41.385977,-67.616617,4.82,A2IV/V,HD17566,HIP12876,
eta01 For,41.890627,-35.550621,6.51,K0/1III,HD17528,HIP13040,
39 Ari,41.977259,29.247118,4.51,K0.5IIIb,HD17361,HIP13061,
40 Ari,42.133702,18.283791,5.83,K1III,HD17459,HIP13108,
RZ Cas,42.231293,69.634289,6.26,A3V,HD17138,HIP13133,
nu. Hor,42.256197,-62.806522,5.25,A2V,HD17848,HIP13141,
bet For,42.272579,-32.405898,4.46,G9IIIb,HD17652,HIP13147,
42 pi. Ari,42.323163,17.464310,5.22,B6V,HD17543,HIP13165,
gam01 For,42.462341,-24.560312,6.15,K0III,HD17713,HIP13197,
gam02 For,42.475761,-27.941983,5.38,A1V,HD17729,HIP13202,
41 c Ari,42.495972,27.260507,3.59,B8Vn,HD17573,HIP13209,
eta02 For,42.561599,-35.843618,5.92,K0III,HD17793,HIP13225,
nu. Hyi,42.618582,-75.066948,4.74,K3III,HD18293,HIP13244,
16 Per,42.646082,38.318643,4.23,F2III,HD17584,HIP13254,
eta03 For,42.668362,-35.675850,5.47,K2III,HD17829,HIP13265,
15 eta Per,42.674207,55.895497,3.79,K3-Ib-IIa,HD17506,HIP13268,Miram
2 tau02 Eri,42.759696,-21.004012,4.77,K0III,HD17824,HIP13288,Angetenar
43 sig Ari,42.873277,15.082068,5.52,B7V,HD17769,HIP13327,
17 Per,42.878489,35.059740,4.53,K5.5III,HD17709,HIP13328,
SU Cas,42.994797,68.888502,5.80,F5.5III+,HD17463,HIP13367,
psi For,43.393320,-38.437001,5.93,F5V,HD18149,HIP13473,
20 Per,43.427554,38.337487,5.34,F6V,HD17904,HIP13490,
18 tau Per,43.564491,52.762467,3.96,G8III+A7V,HD17879,,
18 tau Per,43.564491,52.762467,3.96,G8III+A7V,HD17878,HIP13531,
44 rho01 Ari,43.730020,17.734745,7.00,A3,HD18091,HIP13579,
45 Ari,43.952075,18.331640,5.93,M6-III:,HD18191,HIP13654,
3 eta Eri,44.106872,-8.898143,3.87,K1+IIIb,HD18322,HIP13701,Azha
46 rho Ari,44.109049,18.023240,5.58,F6V,HD18256,HIP13702,
21 Per,44.322007,31.934220,5.09,A2VspSiEu,HD18296,HIP13775,
4 Eri,44.349027,-23.862166,5.45,A5IV/V,HD18454,HIP13782,
47 Ari,44.521755,20.668734,5.80,F0V(e),HD18404,HIP13834,
6 Eri,44.523887,-23.606010,5.81,K2III,HD18535,HIP13835,
tet02 Eri,44.568349,-40.304696,4.11,A1V,HD18623,,Akamar
tet01 Eri,44.565318,-40.304678,3.18,A3IV-V,HD18622,HIP13847,Acamar
22 pi. Per,44.690292,39.662727,4.70,A2Vn,HD18411,HIP13879,Gorgonea Secunda
bet Hor,44.699152,-64.071287,4.97,A3/5III(m),HD18866,HIP13884,
24 Per,44.765320,35.183131,4.93,K2III,HD18449,HIP13905,
48 eps Ari,44.802826,21.340073,5.57,A3IVs,HD18519,HIP13914,
48 eps Ari,44.803024,21.340427,5.16,A2IV,HD18520,,
zet For,44.900761,-25.274133,5.69,F4V,HD18692,HIP13942,
5 Eri,44.921501,-2.464956,5.55,B9V,HD18633,HIP13951,
91 lam Cet,44.928749,8.907358,4.70,B6III,HD18604,HIP13954,
7 Eri,45.212001,-2.878622,6.13,M0/1III,HD18760,HIP14040,
8 rho01 Eri,45.291775,-7.663009,5.75,G9.5III:,HD18784,HIP14060,
eps For,45.406787,-28.091493,5.85,G9:V,HD18907,HIP14086,
49 Ari,45.475589,26.462354,5.91,kA2hA6mA7,HD18769,HIP14109,
tet Hyi,45.564370,-71.902455,5.50,B8III/IV,HD19400,HIP14131,
92 alf Cet,45.569888,4.089739,2.53,M1.5IIIa,HD18884,HIP14135,Menkar
93 Cet,45.593825,4.352886,5.61,B8V,HD18883,HIP14143,
11 tau03 Eri,45.597914,-23.624472,4.09,A3IV-V,HD18978,HIP14146,
51 Ari,45.608443,26.609239,6.63,G8V,HD18803,HIP14150,
9 rho02 Eri,45.676200,-7.685477,5.34,K0III,HD18953,HIP14168,
mu. Hor,45.903412,-59.737775,5.12,F0III/IV,HD19319,HIP14240,
10 rho03 Eri,46.068820,-7.600855,5.30,A5V,HD19107,HIP14293,
23 gam Per,46.199128,53.506436,2.93,G9III+A2-III:,HD18926,,
23 gam Per,46.199128,53.506436,2.93,G9III+A2-III:,HD18925,HIP14328,
25 rho Per,46.294141,38.840276,3.39,M4+IIIa,HD19058,HIP14354,Gorgonea Tertia
52 Ari,46.361201,25.255174,5.47,B7Vn,HD19134,HIP14376,
52 Ari,46.361147,25.256597,7.00,,HD19135,,
k Per,46.385048,56.705719,4.77,G9+IIIb,HD18970,HIP14382,
53 Ari,46.856971,17.879992,6.12,B1.5V,HD19374,HIP14514,
26 bet Per,47.042219,40.955647,2.12,B8V,HD19356,HIP14576,Algol
54 Ari,47.087955,18.795052,6.25,M0III,HD19460,HIP14586,
iot Per,47.266747,49.613278,4.05,G0V,HD19373,HIP14632,
27 kap Per,47.374182,44.857458,3.81,G9.5IIIb,HD19476,HIP14668,Misam
55 Ari,47.403087,29.077082,5.74,B8III,HD19548,HIP14677,
28 ome Per,47.822425,39.611581,4.61,K0III,HD19656,HIP14817,Gorgonea Quarta
57 del Ari,47.907361,19.726673,4.37,G9.5IIIb,HD19787,HIP14838,Botein
alf For,48.018874,-28.987622,3.98,F6V,HD20010,HIP14879,
56 Ari,48.059359,27.256968,5.76,B6IV-V,HD19832,HIP14893,
g Tau,48.109849,6.660886,5.57,K1IIIep+A6V,HD19926,HIP14915,
94 Cet,48.193486,-1.196099,5.07,F8.5V,HD19994,HIP14954,
58 zet Ari,48.725410,21.044447,4.87,A1V,HD20150,HIP15110,
13 zet Eri,48.958440,-8.819732,4.80,kA4hA9mA9V,HD20320,HIP15197,Zibal
iot Hyi,48.990274,-77.388454,5.51,F5IV-V,HD21024,HIP15201,
14 Eri,49.148940,-9.154603,6.14,F5VFe-0.7CH-0.5,HD20395,HIP15244,
zet01 Ret,49.442348,-62.575320,5.54,G2.5VHdel1,HD20766,HIP15330,
30 Per,49.447304,44.025023,5.48,B8V,HD20315,HIP15338,
zet02 Ret,49.553412,-62.506362,5.23,G1V,HD20807,HIP15371,
15 Eri,49.592126,-22.511104,4.88,K0III,HD20610,HIP15382,
95 Cet,49.593443,-0.930287,5.38,G9IV,HD20559,HIP15383,
29 Per,49.657257,50.222176,5.16,B3V,HD20365,HIP15404,
31 Per,49.781830,50.094969,5.03,B5V,HD20418,HIP15444,
96 kap Cet,49.840402,3.370199,4.85,G5V,HD20630,HIP15457,
16 tau04 Eri,49.879169,-21.757865,3.70,M3III-IIIaCa-1,HD20720,HIP15474,
82 e Eri,49.981879,-43.069782,4.27,G6V,HD20794,HIP15510,
59 Ari,49.982483,27.071130,5.92,G7IV,HD20618,HIP15514,
60 Ari,50.106533,25.662757,6.13,K3III:,HD20663,HIP15557,
97 Cet,50.278347,3.675623,5.69,G9IIIBa0.2,HD20791,HIP15619,
61 tau Ari,50.306769,21.147066,5.36,B5IV,HD20756,HIP15627,
32 l Per,50.360662,43.329651,4.95,A3V,HD20677,HIP15648,
62 Ari,50.549556,27.607554,5.52,G5III,HD20825,HIP15696,
63 Ari,50.688506,20.742067,5.13,K3III,HD20893,HIP15737,
64 Ari,51.076991,24.724096,5.50,K4III,HD21017,HIP15861,
33 alf Per,51.080709,49.861179,1.79,F5Ib,HD20902,HIP15863,Mirphak
65 Ari,51.108815,20.803490,6.06,A1V,HD21050,HIP15870,
1 omi Tau,51.203326,9.028870,3.60,G6III,HD21120,HIP15900,
chi01 For,51.482675,-35.920885,6.38,A1IV,HD21423,HIP15987,
2 ksi Tau,51.792252,9.732742,3.75,B9Vn,HD21364,HIP16083,
chi02 For,51.889255,-35.681326,5.70,K2III,HD21574,HIP16112,
chi03 For,52.048021,-35.853427,6.53,A1V,HD21635,HIP16156,
66 Ari,52.110698,22.804009,6.03,G9IV,HD21467,HIP16181,
34 Per,52.341873,49.508953,4.74,B3V,HD21428,HIP16244,
kap Ret,52.344489,-62.937529,4.71,F3IV/V,HD22001,HIP16245,
4 s Tau,52.601953,11.336439,5.12,A0Vn,HD21686,HIP16322,
35 sig Per,52.643689,47.995216,4.36,K3-III,HD21552,HIP16335,
17 v Eri,52.654409,-5.075146,4.72,B9III,HD21790,HIP16341,
5 f Tau,52.718240,12.936670,4.10,K0-III,HD21754,HIP16369,
36 Per,53.109414,46.056862,5.32,F4III,HD21770,HIP16499,
6 t Tau,53.149764,9.373450,5.76,B9III,HD21933,HIP16511,
18 eps Eri,53.232685,-9.458261,3.73,K2V,HD22049,HIP16537,
19 tau05 Eri,53.446983,-21.632884,4.25,B9V,HD22203,HIP16611,
7 Tau,53.610946,24.464397,8.56,A3IVs,HD22091,HIP16664,
20 Eri,54.072517,-17.467076,5.23,B8/9III,HD22470,HIP16803,
37 psi Per,54.122416,48.192635,4.23,B5Ve,HD22192,HIP16826,
10 Tau,54.218265,0.401664,4.30,F9IV-V,HD22484,HIP16852,
9 Tau,54.241775,23.211068,6.73,A2p,HD22374,HIP16859,
y Eri,54.273658,-40.274660,4.58,K1III,HD22663,HIP16870,
tau For,54.698631,-27.943053,6.01,A0V,HD22789,HIP17007,
21 Eri,54.754652,-5.626213,5.96,K0IV,HD22713,HIP17027,
12 Tau,54.963008,3.056866,5.55,K0III,HD22796,HIP17103,
22 Eri,55.159721,-5.210710,5.53,B9IIIpSi4200,HD22920,HIP17167,
11 Tau,55.192957,25.329488,6.10,A2IV,HD22805,HIP17181,
del For,55.562094,-31.938362,4.97,B5III,HD23227,HIP17304,
13 Tau,55.578949,19.700255,5.69,B7Ve,HD23016,HIP17309,
40 o Per,55.594356,33.965025,4.97,B0.5V,HD22951,HIP17313,
h Eri,55.708562,-37.313517,4.58,K1.5IIIbCN0.5,HD23319,HIP17351,
39 del Per,55.731268,47.787549,3.01,B5III,HD22928,HIP17358,
23 del Eri,55.812086,-9.763392,3.54,K0+IV,HD23249,HIP17378,Rana
14 Tau,55.946724,19.665035,6.14,G8III,HD23183,HIP17408,
bet Ret,56.049923,-64.806914,3.83,K2-IIIb,HD23817,HIP17440,
38 omi Per,56.079717,32.288248,3.83,B1III,HD23180,HIP17448,Atik
24 Eri,56.127127,-1.163091,5.25,B7IV,HD23363,HIP17457,
16 Tau,56.200896,24.289468,5.46,B7IV,HD23288,HIP17489,Celaeno
17 Tau,56.218904,24.113336,3.70,B6IIIe,HD23302,HIP17499,Electra
25 Eri,56.235405,-0.296721,5.55,K3III,HD23413,HIP17506,
18 Tau,56.290584,24.839262,5.64,B8V,HD23324,HIP17527,
41 nu. Per,56.298467,42.578551,3.80,F4II,HD23230,HIP17529,
19 q Tau,56.302066,24.467280,4.30,B6IV,HD23338,HIP17531,Taygeta
29 u Tau,56.418513,6.049997,5.34,B3V,HD23466,HIP17563,
20 Tau,56.456694,24.367746,3.87,B8III,HD23408,HIP17573,Maia
21 Tau,56.476985,24.554510,5.76,B8V,HD23432,HIP17579,Asterope
22 Tau,56.512085,24.527897,6.42,A0Vn,HD23441,HIP17588,Sterope II
26 pi. Eri,56.535563,-12.101588,4.42,M1III,HD23614,HIP17593,
23 Tau,56.581558,23.948356,4.18,B6IV(e),HD23480,HIP17608,Merope
sig For,56.614285,-29.338158,5.90,A2V,HD23738,HIP17618,
27 tau06 Eri,56.712030,-23.249723,4.20,F5IV-V,HD23754,HIP17651,
gam Hyi,56.809753,-74.238963,3.26,M1III,HD24512,HIP17678,
24 Tau,56.837661,24.116268,6.28,A0V,HD23629,,
25 eta Tau,56.871152,24.105136,2.87,B7III,HD23630,HIP17702,Alcyone
28 tau07 Eri,56.915209,-23.874677,5.24,A3Vs,HD23878,HIP17717,
rho For,56.983501,-30.167883,5.54,G6III,HD23940,HIP17738,
30 e Tau,57.067778,11.143299,5.07,B3V,HD23793,HIP17771,
f Eri,57.147824,-37.622003,5.25,A1Va,HD24071,HIP17797,
f Eri,57.149475,-37.620143,4.72,B9.5Van,HD24072,,
26 Tau,57.237258,23.857132,6.46,F0,HD23822,HIP17832,
27 Tau,57.290594,24.053417,3.63,B8III,HD23850,HIP17847,Atlas
28 Tau,57.296736,24.136710,5.09,B8Vne,HD23862,HIP17851,Pleione
g Eri,57.363526,-36.200257,4.17,G7III,HD24160,HIP17874,
42 n Per,57.386182,33.091365,5.11,A3V,HD23848,HIP17886,
gam Cam,57.589622,71.332266,4.60,A2IVn,HD23401,HIP17959,
31 Tau,58.000955,6.534905,5.67,B3.5V+,HD24263,HIP18089,
30 Eri,58.173536,-5.361227,5.47,B8III,HD24388,HIP18141,
i Eri,58.412281,-34.732297,5.09,B6/7V,HD24626,HIP18213,
33 tau08 Eri,58.427926,-24.612228,4.62,B6V,HD24587,HIP18216,
44 zet Per,58.533010,31.883634,2.85,B1Ib,HD24398,HIP18246,
32 w Eri,58.572529,-2.952866,6.09,A1V,HD24554,HIP18255,
32 w Eri,58.572924,-2.954733,4.70,G6.5III,HD24555,,
X Per,58.846157,31.045844,6.72,O9.5III,HD24534,HIP18350,
43 A Per,59.152167,50.695376,5.28,F5V,HD24546,HIP18453,
32 Tau,59.216988,22.477974,5.62,F2IVs,HD24740,HIP18471,
33 Tau,59.265863,23.175542,6.04,B9.5IV,HD24769,HIP18485,
45 eps Per,59.463467,40.010215,2.89,B1.5III,HD24760,HIP18532,
34 gam Eri,59.507358,-13.508515,2.94,M0III-IIIb,HD25025,HIP18543,Zaurak
del Ret,59.686456,-61.400185,4.57,M1.5III,HD25422,HIP18597,
46 ksi Per,59.741260,35.791031,4.06,O7.5III(n)((f)),HD24912,HIP18614,Menkib
36 tau09 Eri,59.981182,-24.016216,4.66,ApSi,HD25267,HIP18673,
35 lam Tau,60.170065,12.490341,3.41,B4IV,HD25204,HIP18724,
gam Ret,60.224202,-62.159285,4.50,M4III,HD25705,HIP18744,
iot Ret,60.325629,-61.078823,4.96,K4III,HD25728,HIP18772,
35 Eri,60.383530,-1.549659,5.28,B5III/IV,HD25340,HIP18788,
38 nu. Tau,60.789080,5.989301,3.88,A0.5Va,HD25490,HIP18907,
40 Tau,60.935852,5.435618,5.33,B5V,HD25558,HIP18957,
36 Tau,61.090286,24.106018,5.51,K1II+B7.5IV:,HD25555,HIP19009,
37 A01 Tau,61.173804,22.081930,4.37,K0III-IIIb,HD25604,HIP19038,
39 A02 Tau,61.334409,22.008905,5.90,G5V,HD25680,HIP19076,
47 lam Per,61.646015,50.351264,4.29,A0IVn,HD25642,HIP19167,
41 Tau,61.651719,27.599900,5.17,Ap,HD25823,HIP19171,
42 psi Tau,61.751904,29.001308,5.20,F0,HD25867,HIP19205,
49 Per,62.064120,37.727496,6.09,K1III,HD25975,HIP19302,
50 Per,62.152571,38.039739,5.51,F8V,HD25998,HIP19335,
48 c Per,62.165384,47.712512,4.03,B3Ve,HD25940,HIP19343,
43 Tau,62.291525,19.609217,5.50,K2III,HD26162,HIP19388,
37 Eri,62.593833,-6.923852,5.44,G8III,HD26409,HIP19483,
44 p Tau,62.707754,26.480955,5.39,F2IV-V,HD26322,HIP19513,
del Hor,62.710711,-41.993643,4.93,F2IV/V,HD26612,HIP19515,
45 Tau,62.834509,5.523052,5.70,F4V,HD26462,HIP19554,
38 omi01 Eri,62.966413,-6.837580,4.03,F0III,HD26574,HIP19587,Beid
46 Tau,63.387877,7.716116,5.29,F2V,HD26690,HIP19719,
47 Tau,63.484937,9.263826,4.84,G5III+A7V:,HD26722,HIP19740,
alf Hor,63.500476,-42.294369,3.86,K2III,HD26967,HIP19747,
39 A Eri,63.598700,-10.256283,4.90,K2III,HD26846,HIP19777,
alf Ret,63.606125,-62.473803,3.36,G8IIIa:,HD27256,HIP19780,
52 f Per,63.722218,40.483640,4.69,G5II+A2V,HD26673,HIP19811,
51 mu. Per,63.724427,48.409331,4.16,G0Ib,HD26630,HIP19812,
40 omi02 Eri,63.817998,-7.652870,4.43,K0V,HD26965,HIP19849,Keid
49 mu. Tau,63.883570,8.892359,4.28,B3IV,HD26912,HIP19860,
48 Tau,63.942852,15.400696,6.30,F5V,HD26911,HIP19877,
gam Dor,64.006611,-51.486648,4.20,F1V,HD27290,HIP19893,
eps Ret,64.120951,-59.302154,4.44,K2III,HD27442,HIP19921,
50 ome Tau,64.315255,20.578597,4.91,A3m,HD27045,HIP19990,
tet Ret,64.417800,-63.255406,5.87,,HD27657,HIP20020,
41 ups04 Eri,64.473593,-33.798349,3.56,B8V+B9.5V?,HD27376,HIP20042,
del Men,64.496957,-80.214032,5.68,K2/3III+A,HD28525,HIP20049,
b Per,64.560923,50.295493,4.59,A1III,HD26961,HIP20070,
51 Tau,64.596712,21.579219,5.63,F0V,HD27176,HIP20087,
53 Tau,64.858740,21.142305,5.48,B9Vsp,HD27295,HIP20171,
56 Tau,64.902937,21.773491,5.35,A0VpSi,HD27309,HIP20186,
54 gam Tau,64.948350,15.627642,3.65,G9.5IIIabCN0.5,HD27371,HIP20205,Hyadum I
55 Tau,64.978586,16.522563,6.85,F8V,HD27383,HIP20215,
57 h Tau,64.990436,14.035203,5.57,F0IV,HD27397,HIP20219,
b02 Per,65.047969,50.920935,5.54,B1.5IV,HD27192,HIP20234,
52 phi Tau,65.088400,27.350752,4.95,K0III,HD27382,HIP20250,
54 Per,65.102658,34.566726,4.93,G8+IIIb,HD27348,HIP20252,
58 Tau,65.151293,15.095453,5.24,F0IV-V,HD27459,HIP20261,
d Eri,65.178475,-7.592496,5.84,B7II,HD27563,HIP20271,
nu. Men,65.241967,-81.579922,5.76,F0/2III,HD29116,HIP20297,
53 d Per,65.388193,46.498879,4.81,B4IV,HD27396,HIP20354,
eta Ret,65.472191,-63.386391,5.24,G8III,HD28093,HIP20384,
60 Tau,65.514659,14.077198,5.71,A3m,HD27628,HIP20400,
59 chi Tau,65.645599,25.629316,5.38,B9Vnn,HD27638,HIP20430,
61 del Tau,65.733730,17.542514,3.76,G9.5IIICN0.5,HD27697,HIP20455,Hyadum II
63 Tau,65.854434,16.777264,5.62,A1m,HD27749,HIP20484,
42 ksi Eri,65.920217,-3.745468,5.17,A1V,HD27861,HIP20507,
66 r Tau,65.965940,9.460971,5.10,A3V,HD27820,HIP20522,
62 Tau,65.999011,24.300980,6.34,B3V,HD27778,HIP20533,
43 d Eri,66.009193,-34.016850,3.96,K3.5III,HD28028,HIP20535,
64 Tau,66.024006,17.444131,4.80,A2Vs,HD27819,HIP20542,
55 Per,66.121481,34.130758,5.72,B8V,HD27777,HIP20579,
56 Per,66.156099,33.959689,5.79,,HD27786,HIP20591,
65 kap Tau,66.342352,22.293871,4.20,A7IV-V,HD27934,HIP20635,
67 Tau,66.354230,22.199999,5.26,F0Vn,HD27946,HIP20641,
68 Tau,66.372436,17.927907,4.30,A2IV-Vs,HD27962,HIP20648,
70 Tau,66.405511,15.941023,6.44,F7V,HD27991,HIP20661,
69 ups Tau,66.576930,22.813580,4.28,A8Vn,HD28024,HIP20711,
71 Tau,66.586545,15.618301,4.48,F0V,HD28052,HIP20713,
73 pi. Tau,66.651548,14.713782,4.69,G7IIIFe-0.5,HD28100,HIP20732,
72 Tau,66.822712,22.996327,5.51,B7V,HD28149,HIP20789,
76 Tau,67.097532,14.740959,5.89,F0IV,HD28294,HIP20873,
75 Tau,67.109875,16.359675,4.97,K1IIIb,HD28292,HIP20877,
44 Eri,67.133838,1.380825,5.53,B5III/IV,HD28375,HIP20884,
77 tet01 Tau,67.143741,15.962284,3.84,G9IIIFe-0.5,HD28307,HIP20885,
74 eps Tau,67.154168,19.180434,3.53,G9.5IIICN0.5,HD28305,HIP20889,Ain
78 tet02 Tau,67.165590,15.870875,3.41,A7III,HD28319,HIP20894,
79 b Tau,67.209015,13.047602,5.01,kA5hF0VmF0,HD28355,HIP20901,
80 Tau,67.535824,15.637839,5.55,F0V,HD28485,HIP20995,
83 Tau,67.655679,13.724402,5.39,F0IV,HD28556,HIP21036,
81 Tau,67.662038,15.691878,5.45,Am,HD28546,HIP21039,
del Cae,67.708749,-44.953750,5.06,B2IV/V,HD28873,HIP21060,
84 Tau,67.779960,15.105038,6.30,M3III,HD28595,HIP21082,
85 Tau,67.965662,15.851624,6.00,F1.5Vn,HD28677,HIP21137,
45 Eri,67.969453,-0.044011,4.90,K0/1III,HD28749,HIP21139,
1 Cam,68.007676,53.910846,5.77,B0III+B0IV/V,HD28446,HIP21148,
57 m Per,68.353763,43.063893,6.08,F0V,HD28704,HIP21242,
50 ups01 Eri,68.377301,-29.766492,4.51,K0+IIIbFe-0.5,HD29085,HIP21248,
86 rho Tau,68.462158,14.844428,4.65,A8V,HD28910,HIP21273,
46 Eri,68.478032,-6.738912,5.72,ApSi,HD29009,HIP21278,
alf Dor,68.499072,-55.044979,3.28,B8IIIpSi,HD29305,HIP21281,
47 Eri,68.548452,-8.231352,5.19,M0/1III,HD29064,HIP21296,
52 ups02 Eri,68.887658,-30.562342,3.82,G8+III,HD29291,HIP21393,Theemim
88 d Tau,68.913609,10.160753,4.25,A5m,HD29140,HIP21402,
87 alf Tau,68.980163,16.509302,0.86,K5+III,HD29139,HIP21421,Aldebaran
48 nu. Eri,69.079756,-3.352460,3.93,B2III,HD29248,HIP21444,
58 e Per,69.172626,41.264811,4.26,K0II-III+B9V,HD29094,HIP21476,
R Dor,69.189964,-62.077166,5.40,M8III:e,HD29712,HIP21479,
49 Eri,69.306975,0.998313,5.32,B8IV,HD29335,HIP21515,
51 c Eri,69.400553,-2.473549,5.21,F0IV,HD29391,HIP21547,
89 Tau,69.539336,16.033256,5.78,F0V,HD29375,HIP21588,
90 c01 Tau,69.539425,12.510837,4.27,A6V,HD29388,HIP21589,
53 l Eri,69.545098,-14.304028,3.87,K2-IIIb,HD29503,HIP21594,Sceptrum
91 sig01 Tau,69.788430,15.799836,5.08,A4m,HD29479,HIP21673,
92 sig02 Tau,69.818759,15.917975,4.67,A5Vn,HD29488,HIP21683,
3 Cam,69.977838,53.079535,5.07,G9III,HD29317,HIP21727,
2 Cam,69.991929,53.472912,5.35,A8V,HD29316,HIP21730,
93 Tau,70.014250,12.197613,5.45,B8IV,HD29589,HIP21735,
54 Eri,70.110464,-19.671492,4.30,M3/4III,HD29755,HIP21763,
alf Cae,70.140469,-41.863751,4.45,F2V,HD29875,HIP21770,
bet Cae,70.514510,-37.144330,5.05,F3IV,HD29992,HIP21861,
94 tau Tau,70.561247,22.956903,4.26,B3V,HD29763,HIP21881,
lam Pic,70.693432,-50.481335,5.30,K0/1III,HD30185,HIP21914,
59 Per,70.726402,43.365120,5.30,A1Vn,HD29722,HIP21928,
mu. Men,70.766518,-70.931026,5.51,B8II/III(pSi),HD30612,HIP21949,
95 Tau,70.807318,24.088917,6.15,G0,HD29859,HIP21961,
55 Eri,70.896532,-8.796227,6.64,G5III,HD30021,,
55 Eri,70.894776,-8.794313,6.73,F2VpSrSi,HD30020,HIP21986,
lam Cae,70.934467,-41.064787,6.22,K3/4III,HD30202,HIP21998,
56 Eri,71.022170,-8.503570,5.81,B2(V)nne,HD30076,HIP22024,
